1,Demo,CRM,crm@gmail.com,983366400,NULL,$2y$10$LOdP6uQVenvAcuCZa4Jb.Om8rTbpRByOca42h3X1frqBs9NqBZBhW,$2y$10$MNbeCG7u1UKVG8PtQze5wu0G558g2ml5/M4iyMEbUYBZKa7F7zvoW,bWUCUaOl7q5LJYm4qExLeDT2ICapcRLNg71CocUUsn50iBvEMN6ThUjkQV4H,NULL,admin,NULL,NULL,,0,NULL,Tulips_1.jpg,NULL,NULL,NULL,NULL,NULL,1,1,j6ACM9F8bxDEQnqQ7N3wTSiqacb7hYqoITC3RHEgHE828p7lEgWNBA1UCJ2A,0000-00-00 00:00:00,0,2016-06-15 05:20:19,1
2,Archana,N.,ar@gmail.com,9860992510,NULL,$2y$10$c0zTZzATGWZsQwiAHBvwDONr0r9nhqmWmciWLn.wX7p7xKoovC7P6,NULL,NULL,NULL,sales_agent,,0,,0,,Chrysanthemum_2.jpg,80,NULL,NULL,NULL,NULL,1,1,NULL,2015-10-09 10:20:02,1,2016-04-13 05:25:26,1
3,Chintan,Lad,c@gmail.com,123221224,NULL,$2y$10$5OdlbuoLBHhIL0/OuEk4VeA/JvwE/Kx/tDMiKpAxW3PwrF1PjFWja,NULL,NULL,NULL,sales_agent,NULL,NULL,,0,NULL,,9,NULL,NULL,NULL,NULL,1,1,NULL,2015-10-09 10:20:34,1,2015-10-09 10:20:34,0
4,Amit ,S,a@gmail.com,122121231,NULL,$2y$10$OTXICkbLzKFCabpsCKOb0OBM8Xarw.k3raJ5qGBYBQRaJWbCglLja,NULL,NULL,NULL,sales_manager,NULL,NULL,,0,NULL,,NULL,NULL,NULL,NULL,NULL,1,1,NULL,2015-10-09 10:21:12,1,2015-10-09 10:21:12,0
6,JA,Shah,,123212345,NULL,,NULL,NULL,NULL,site_head,NULL,NULL,,0,NULL,,NULL,NULL,3351,NULL,,1,1,NULL,2015-10-09 10:24:35,1,2015-10-20 12:40:18,1
7,Bhavna,N,b@gmail.com,9988776655,NULL,$2y$10$V3LzF/os/cXqRi3uOnbpxOumd8O6GAi3MUw9XWQ4KSeFnneNsAutG,NULL,NULL,NULL,sales_agent,NULL,NULL,,0,NULL,,4,NULL,NULL,NULL,NULL,1,1,NULL,2015-10-09 10:28:38,1,2015-10-09 10:29:05,1
8,Divya,S,d@gmail.com,5454545455,NULL,$2y$10$qc9LHl9SfaEYToPdBV7zj.AD4fGQPFEKhZ4heogfICbWI7xmduhqO,NULL,NULL,NULL,sales_agent,NULL,NULL,,0,NULL,,4,NULL,NULL,NULL,NULL,1,1,NULL,2015-10-09 10:29:42,1,2015-10-09 10:29:42,0
9,Sri,Kiran,s@gmail.com,432123456,NULL,$2y$10$UeDrtL2hAsAQf5m7hGKCTek4Ow/MukYDPJnYe8S7u3ClPSLgkS6c2,NULL,NULL,NULL,sales_manager,NULL,NULL,,0,NULL,,NULL,NULL,NULL,NULL,NULL,1,1,NULL,2015-10-09 10:30:07,1,2015-10-09 10:35:51,1
10,Yuvi,B,y@gmail.com,123432133,NULL,$2y$10$p1izOutacf8qt0hwl4VJVOKOU2xf/mJqW2A7J2rN7wljYHeSXq2yW,NULL,NULL,NULL,sales_agent,NULL,NULL,,0,NULL,,4,NULL,NULL,NULL,NULL,1,0,NULL,2015-10-09 10:30:32,1,2015-10-09 10:35:36,1
11,Raj,Q,r@gmail.com,123432144,NULL,$2y$10$8RIdmu29eDVpZXpY/sSGD.GtJK01s.MXFELThY5hdMAP.GGk3I8FG,NULL,NULL,NULL,sales_agent,NULL,NULL,,0,NULL,,9,NULL,NULL,NULL,NULL,1,0,NULL,2015-10-09 11:32:07,1,2015-10-09 11:32:07,0
